123	1617	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
61	1679	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
886	1662	32.0	4.0	4.0	8.0	4.0	40.0	0.0	16.0	40.0	148.0
335	1484	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
309	1539	24.0	4.0	4.0	8.0	4.0	0.0	16.0	16.0	40.0	116.0
209	1686	0.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	132.0
209	1895	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
1686	1895	24.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	156.0
407	1250	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
37	1109	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
216	1444	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
216	1726	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
216	1795	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
216	1891	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
1444	1726	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
1444	1795	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
1444	1891	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
1726	1795	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
1726	1891	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
1795	1891	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
893	1555	32.0	4.0	4.0	8.0	4.0	40.0	0.0	16.0	40.0	148.0
876	1392	32.0	4.0	4.0	8.0	4.0	40.0	0.0	16.0	40.0	148.0
876	1957	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
1392	1957	32.0	4.0	4.0	8.0	4.0	40.0	0.0	16.0	40.0	148.0
80	1404	24.0	4.0	4.0	8.0	4.0	40.0	0.0	16.0	40.0	140.0
110	1799	32.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	164.0
636	1486	24.0	4.0	4.0	8.0	4.0	40.0	16.0	16.0	40.0	156.0
